instruction,input,output
What is the publication date and link for the paper 'CapsFusion: Rethinking Image-Text Data at Scale'?,,The publication date is 2023-10-31 and you can find the paper here https://arxiv.org/abs/2310.20550
What is the publication date and link for the paper 'Semantic-Aware Multi-Label Adversarial Attacks'?,,The publication date is 2024-01-29 and you can find the paper here https://arxiv.org/abs/2401.16001
How does 'HINTED: Hard Instance Enhanced Detector with Mixed-Density Feature Fusion for Sparsely-Supervised 3D Object Detection' impact the current field of study?,"Publication Date: 2023-08-08, ArXiv Link: https://arxiv.org/abs/2308.04556","In the paper 'HINTED: Hard Instance Enhanced Detector with Mixed-Density Feature Fusion for Sparsely-Supervised 3D Object Detection', False negatives FN in 3D object detection, em e.g., missing predictions of pedestrians, vehicles, or other obstacles, can lead to potentially dangerous situations in autonomous driving. While being fatal, this issue is understudied in many current 3D detection methods. In this work, we propose Hard Instance Probing HIP, a general pipeline that identifies textitFN in a multi-stage manner and guides the models to focus on excavating difficult instances. For 3D object detection, we instantiate this method as FocalFormer3D, a simple yet effective detector that excels at excavating difficult objects and improving prediction recall. FocalFormer3D features a multi-stage query generation to discover hard objects and a box-level transformer decoder to efficiently distinguish objects from massive object candidates. Experimental results on the nuScenes and Waymo datasets validate the superior performance of FocalFormer3D. The advantage leads to strong performance on both detection and tracking, in both LiDAR and multi-modal settings. Notably, FocalFormer3D achieves a 70.5 mAP and 73.9 NDS on nuScenes detection benchmark, while the nuScenes tracking benchmark shows 72.1 AMOTA, both ranking 1st place on the nuScenes LiDAR leaderboard. Our code is available at urlhttpsgithub.comNVlabsFocalFormer3D."
"What is the main contribution of the research paper titled 'DiG-IN: Diffusion Guidance for Investigating Networks - Uncovering Classifier Differences, Neuron Visualisations, and Visual Counterfactual Explanations'?",,The publication date is 2023-11-29 and you can find the paper here https://arxiv.org/abs/2311.17833
What is the publication date and link for the paper 'PRDP: Proximal Reward Difference Prediction for Large-Scale Reward Finetuning of Diffusion Models'?,,The publication date is 2024-02-13 and you can find the paper here https://arxiv.org/abs/2402.08714
Could you explain the significance of 'SI-MIL: Taming Deep MIL for Self-Interpretability in Gigapixel Histopathology' in simple terms?,,The publication date is 2023-12-22 and you can find the paper here https://arxiv.org/abs/2312.15010
What is the publication date and link for the paper 'DIMAT: Decentralized Iterative Merging-And-Training for Deep Learning Models'?,,The publication date is 2024-04-11 and you can find the paper here https://arxiv.org/abs/2404.08079
What is the publication date and link for the paper 'Mask4Align: Aligned Entity Prompting with Color Masks for Multi-Entity Localization Problem'?,,The publication date is 2023-10-09 and you can find the paper here https://arxiv.org/abs/2310.05364
What is the publication date and link for the paper 'OmniSDF: Scene Reconstruction using Omnidirectional Signed Distance Functions and Adaptive Binoctrees'?,,The publication date is 2024-03-31 and you can find the paper here https://arxiv.org/abs/2404.00678
How does 'BANF: Band-limited Neural Fields for Levels of Detail Reconstruction' impact the current field of study?,"Publication Date: 2024-04-19, ArXiv Link: https://arxiv.org/abs/2404.13024","In the paper 'BANF: Band-limited Neural Fields for Levels of Detail Reconstruction', Largely due to their implicit nature, neural fields lack a direct mechanism for filtering, as Fourier analysis from discrete signal processing is not directly applicable to these representations. Effective filtering of neural fields is critical to enable level-of-detail processing in downstream applications, and support operations that involve sampling the field on regular grids e.g. marching cubes. Existing methods that attempt to decompose neural fields in the frequency domain either resort to heuristics or require extensive modifications to the neural field architecture. We show that via a simple modification, one can obtain neural fields that are low-pass filtered, and in turn show how this can be exploited to obtain a frequency decomposition of the entire signal. We demonstrate the validity of our technique by investigating level-of-detail reconstruction, and showing how coarser representations can be computed effectively."
What is the publication date and link for the paper 'PeLK: Parameter-efficient Large Kernel ConvNets with Peripheral Convolution'?,,The publication date is 2024-03-12 and you can find the paper here https://arxiv.org/abs/2403.07589
Could you explain the significance of 'Quilt-LLaVA: Visual Instruction Tuning by Extracting Localized Narratives from Open-Source Histopathology Videos' in simple terms?,,The publication date is 2023-12-07 and you can find the paper here https://arxiv.org/abs/2312.04746
